domain,axis,candidate,variants,answer_correctness,evidence_recall,context_precision,failure_rate,estimated_cost,recommendation_score,reading
finance,embedding,e5-large-v2-proxy,12,0.7412280701754386,0.9868421052631579,0.2763157894736842,0.2587719298245614,8.056008771929824e-05,0.7238602390340982,best embedding model
finance,embedding,bge-m3-proxy,12,0.7412280701754386,0.9868421052631579,0.2763157894736842,0.2587719298245614,8.057504385964913e-05,0.7238576745774619,best embedding model
finance,embedding,finance-e5-proxy,12,0.7280701754385964,0.9736842105263158,0.2730263157894737,0.27192982456140347,8.076728070175438e-05,0.7116529993306191,best embedding model
finance,generator,reasoning-oss-llm,14,0.8383458646616542,0.9360902255639098,0.2619047619047619,0.16165413533834586,8.866958646616541e-05,0.7610646721045871,best generator model
finance,generator,balanced-oss-llm,14,0.6804511278195489,0.9360902255639098,0.2619047619047619,0.31954887218045114,7.194928571428571e-05,0.67141937980125,best generator model
finance,generator,extractive-strict,14,0.5902255639097744,0.9360902255639098,0.2619047619047619,0.40977443609022557,5.917259398496241e-05,0.6219580834398333,best generator model
finance,rag,dense-vector,9,0.7543859649122807,1.0,0.2894736842105263,0.24561403508771928,3.254959064327485e-05,0.7145921486051419,best RAG system
finance,rag,pageindex-oss,9,0.7543859649122807,1.0,0.25,0.24561403508771928,9.196251461988304e-05,0.6919680396315943,best RAG system
finance,rag,hybrid-rerank,9,0.7543859649122807,1.0,0.2894736842105263,0.24561403508771928,0.00016522187134502923,0.6903489363670652,best RAG system
finance,rag,hybrid,9,0.6842105263157895,0.9298245614035088,0.27192982456140347,0.3157894736842105,3.28025730994152e-05,0.6494345020849588,best RAG system
finance,rag,parent-child,3,0.5263157894736842,0.6842105263157895,0.18859649122807018,0.47368421052631576,2.7596842105263157e-05,0.4725847598039513,best RAG system
finance,rag,bm25,3,0.47368421052631576,0.631578947368421,0.17543859649122806,0.5263157894736842,3.048701754385965e-05,0.42390982162135377,best RAG system
financebench-open-source,embedding,bge-m3-proxy,12,0.33944444444444444,0.4236111111111111,0.12291666666666667,0.6605555555555556,0.0009243519777777778,0.28912229269796164,best embedding model
financebench-open-source,embedding,e5-large-v2-proxy,12,0.3372222222222222,0.41944444444444445,0.12166666666666667,0.6627777777777778,0.0009264011444444445,0.28644191019676607,best embedding model
financebench-open-source,embedding,finance-e5-proxy,12,0.33666666666666667,0.4161111111111111,0.12041666666666667,0.6633333333333333,0.0009139358944444445,0.2854657575634441,best embedding model
financebench-open-source,generator,reasoning-oss-llm,14,0.3719047619047619,0.4142063492063492,0.11976190476190476,0.628095238095238,0.001326025061904762,0.282242254820667,best generator model
financebench-open-source,generator,extractive-strict,14,0.3242857142857143,0.4142063492063492,0.11976190476190476,0.6757142857142857,0.0005479071571428571,0.26593678939501453,best generator model
financebench-open-source,generator,balanced-oss-llm,14,0.31238095238095237,0.4142063492063492,0.11976190476190476,0.6876190476190476,0.0008810103,0.2513878976874218,best generator model
financebench-open-source,rag,hybrid,9,0.3637037037037037,0.4444444444444444,0.12666666666666668,0.6362962962962962,0.0008372320148148148,0.29741040906947946,best RAG system
financebench-open-source,rag,bm25,3,0.3511111111111111,0.41888888888888887,0.11666666666666667,0.6488888888888888,0.0009045797111111112,0.28076369575037763,best RAG system
financebench-open-source,rag,dense-vector,9,0.3251851851851852,0.42000000000000004,0.125,0.6748148148148149,0.0007648964666666666,0.26722006485606714,best RAG system
financebench-open-source,rag,pageindex-oss,9,0.3251851851851852,0.41333333333333333,0.12444444444444444,0.6748148148148148,0.0008260834,0.262833855333827,best RAG system
financebench-open-source,rag,hybrid-rerank,9,0.337037037037037,0.40111111111111114,0.11055555555555556,0.662962962962963,0.0012580401407407407,0.2604272922503265,best RAG system
financebench-open-source,rag,parent-child,3,0.3022222222222222,0.3433333333333333,0.1,0.6977777777777778,0.0008930626444444444,0.2270929203848542,best RAG system
general-docs,embedding,bge-m3-proxy,12,0.85,0.9041666666666667,0.375,0.15,6.914325e-05,0.7695119644440331,best embedding model
general-docs,embedding,finance-e5-proxy,12,0.85,0.9041666666666667,0.375,0.15,6.913854166666667e-05,0.7695054983374705,best embedding model
general-docs,embedding,e5-large-v2-proxy,12,0.8375,0.8979166666666667,0.371875,0.1625,6.899079166666667e-05,0.7599150081626596,best embedding model
general-docs,generator,extractive-strict,14,0.8071428571428572,0.8996428571428572,0.35714285714285715,0.19285714285714287,4.972532142857143e-05,0.7461432891996486,best generator model
general-docs,generator,balanced-oss-llm,14,0.8071428571428572,0.8496428571428571,0.35714285714285715,0.19285714285714287,6.149103571428571e-05,0.7258007655433907,best generator model
general-docs,generator,reasoning-oss-llm,14,0.8071428571428572,0.8496428571428571,0.35714285714285715,0.19285714285714287,7.688532142857143e-05,0.7201415663048947,best generator model
general-docs,rag,dense-vector,9,0.85,0.9016666666666667,0.4125,0.15,2.8356555555555557e-05,0.7547369891160214,best RAG system
general-docs,rag,hybrid,9,0.8333333333333334,0.8933333333333333,0.4083333333333333,0.16666666666666666,2.8337777777777777e-05,0.7422165561132202,best RAG system
general-docs,rag,hybrid-rerank,9,0.85,0.9016666666666667,0.4125,0.15,0.00012642694444444446,0.7317193117435494,best RAG system
general-docs,rag,pageindex-oss,9,0.85,0.9116666666666666,0.2625,0.15,9.324216666666666e-05,0.7246490187085772,best RAG system
general-docs,rag,bm25,3,0.6,0.6766666666666666,0.2583333333333333,0.4,2.5198833333333333e-05,0.5219317036368383,best RAG system
general-docs,rag,parent-child,3,0.55,0.6266666666666667,0.25416666666666665,0.45,2.351866666666667e-05,0.4765443293668282,best RAG system
