track,domain,system_id,embedding_model,generator_model,failure_type,count
end-to-end,finance,bm25,none,balanced-oss-llm,context_bloat,4
end-to-end,finance,bm25,none,balanced-oss-llm,retrieval_miss,7
end-to-end,finance,bm25,none,extractive-strict,context_bloat,3
end-to-end,finance,bm25,none,extractive-strict,generation_hallucination,1
end-to-end,finance,bm25,none,extractive-strict,retrieval_miss,7
end-to-end,finance,bm25,none,reasoning-oss-llm,context_bloat,1
end-to-end,finance,bm25,none,reasoning-oss-llm,retrieval_miss,7
end-to-end,finance,dense-vector,bge-m3-proxy,balanced-oss-llm,context_bloat,4
end-to-end,finance,dense-vector,bge-m3-proxy,balanced-oss-llm,generation_hallucination,1
end-to-end,finance,dense-vector,bge-m3-proxy,extractive-strict,context_bloat,5
end-to-end,finance,dense-vector,bge-m3-proxy,extractive-strict,generation_hallucination,2
end-to-end,finance,dense-vector,bge-m3-proxy,reasoning-oss-llm,context_bloat,2
end-to-end,finance,dense-vector,e5-large-v2-proxy,balanced-oss-llm,context_bloat,4
end-to-end,finance,dense-vector,e5-large-v2-proxy,balanced-oss-llm,generation_hallucination,1
end-to-end,finance,dense-vector,e5-large-v2-proxy,extractive-strict,context_bloat,5
end-to-end,finance,dense-vector,e5-large-v2-proxy,extractive-strict,generation_hallucination,2
end-to-end,finance,dense-vector,e5-large-v2-proxy,reasoning-oss-llm,context_bloat,2
end-to-end,finance,dense-vector,finance-e5-proxy,balanced-oss-llm,context_bloat,4
end-to-end,finance,dense-vector,finance-e5-proxy,balanced-oss-llm,generation_hallucination,1
end-to-end,finance,dense-vector,finance-e5-proxy,extractive-strict,context_bloat,5
end-to-end,finance,dense-vector,finance-e5-proxy,extractive-strict,generation_hallucination,2
end-to-end,finance,dense-vector,finance-e5-proxy,reasoning-oss-llm,context_bloat,2
end-to-end,finance,hybrid,bge-m3-proxy,balanced-oss-llm,context_bloat,4
end-to-end,finance,hybrid,bge-m3-proxy,balanced-oss-llm,generation_hallucination,1
end-to-end,finance,hybrid,bge-m3-proxy,balanced-oss-llm,retrieval_miss,1
end-to-end,finance,hybrid,bge-m3-proxy,extractive-strict,context_bloat,5
end-to-end,finance,hybrid,bge-m3-proxy,extractive-strict,generation_hallucination,2
end-to-end,finance,hybrid,bge-m3-proxy,extractive-strict,retrieval_miss,1
end-to-end,finance,hybrid,bge-m3-proxy,reasoning-oss-llm,context_bloat,2
end-to-end,finance,hybrid,bge-m3-proxy,reasoning-oss-llm,retrieval_miss,1
end-to-end,finance,hybrid,e5-large-v2-proxy,balanced-oss-llm,context_bloat,4
end-to-end,finance,hybrid,e5-large-v2-proxy,balanced-oss-llm,generation_hallucination,1
